.04602 0.93481 -2.84733 0.71756 -0.06107 
0.01892 0.03906 0.93665 -2.86260 0.69466 -0.09160 
0.01794 0.04431 0.93665 -2.90840 0.70992 -0.03817 
0.01904 0.04724 0.93701 -2.87023 0.71756 -0.09924 
0.01990 0.04871 0.93970 -2.93893 0.68702 -0.07634 
0.01697 0.04651 0.93860 -2.80153 0.67176 -0.04580 
0.01746 0.04285 0.93591 -2.93130 0.74809 -0.07634 
0.01648 0.04138 0.93896 -2.88550 0.68702 -0.02290 
0.01770 0.03955 0.94019 -2.81679 0.68702 -0.05344 
0.01746 0.04272 0.93823 -2.83969 0.74809 -0.07634 
0.01819 0.04260 0.93689 -2.87786 0.71756 -0.06107 
0.01733 0.04248 0.93872 -2.83969 0.64885 -0.10687 
0.01807 0.04529 0.93457 -2.86260 0.72519 -0.10687 
0.01941 0.04419 0.93933 -2.83206 0.67939 -0.03053 
0.01941 0.04346 0.93530 -2.84733 0.64122 -0.04580 
